Country,Year,CapitalCity,Population
Switzerland,2018,Bern,422
Syrian Arab Republic,2005,Damascus,"2,200"
Syrian Arab Republic,2010,Damascus,"2,401"
Syrian Arab Republic,2015,Damascus,"2,223"
Syrian Arab Republic,2018,Damascus,"2,320"
Tajikistan,2005,Dushanbe,640
Tajikistan,2010,Dushanbe,721
Tajikistan,2015,Dushanbe,812
Tajikistan,2018,Dushanbe,873
TFYR of Macedonia,2005,Skopje,485
TFYR of Macedonia,2010,Skopje,521
TFYR of Macedonia,2015,Skopje,560
TFYR of Macedonia,2018,Skopje,584
Thailand,2005,Bangkok,"7,272"
Thailand,2010,Bangkok,"8,269"
Thailand,2015,Bangkok,"9,403"
Thailand,2018,Bangkok,"10,156"
Timor-Leste,2018,Dili,281
Togo,2005,Lomé,"1,315"
Togo,2010,Lomé,"1,466"
Togo,2015,Lomé,"1,635"
Togo,2018,Lomé,"1,746"
Tonga,2018,Nuku'alofa,23
Trinidad and Tobago,2005,Port of Spain,547
Trinidad and Tobago,2010,Port of Spain,546
Trinidad and Tobago,2015,Port of Spain,545
Trinidad and Tobago,2018,Port of Spain,544
Tunisia,2005,Tunis,"1,859"
Tunisia,2010,Tunis,"2,014"
Tunisia,2015,Tunis,"2,183"
Tunisia,2018,Tunis,"2,291"
Turkey,2005,Ankara,"3,638"
Turkey,2010,Ankara,"4,166"
Turkey,2015,Ankara,"4,633"
Turkey,2018,Ankara,"4,919"
Turkmenistan,2005,Ashgabat,592
Turkmenistan,2010,Ashgabat,668
Turkmenistan,2015,Ashgabat,753
Turkmenistan,2018,Ashgabat,810
Turks and Caicos Islands,2001,Cockburn Town,0
Tuvalu,2018,Funafuti,7
Uganda,2005,Kampala,"1,576"
Uganda,2010,Kampala,"2,016"
Uganda,2015,Kampala,"2,577"
Uganda,2018,Kampala,"2,986"
Ukraine,2005,Kyiv,"2,673"
Ukraine,2010,Kyiv,"2,795"
Ukraine,2015,Kyiv,"2,895"
Ukraine,2018,Kyiv,"2,957"
United Arab Emirates,2005,Abu Dhabi,655
United Arab Emirates,2010,Abu Dhabi,912
United Arab Emirates,2015,Abu Dhabi,"1,203"
United Arab Emirates,2018,Abu Dhabi,"1,420"
United Kingdom,2005,London,"7,501"
United Kingdom,2010,London,"8,044"
United Kingdom,2015,London,"8,661"
United Kingdom,2018,London,"9,046"
United Rep. of Tanzania,2018,Dodoma,262
United States of America,2005,"Washington, D.C.","4,264"
United States of America,2010,"Washington, D.C.","4,604"
United States of America,2015,"Washington, D.C.","4,972"
United States of America,2018,"Washington, D.C.","5,207"
United States Virgin Islands,2018,Charlotte Amalie,52
Uruguay,2005,Montevideo,"1,613"
Uruguay,2010,Montevideo,"1,659"
Uruguay,2015,Montevideo,"1,707"
Uruguay,2018,Montevideo,"1,737"
Uzbekistan,2005,Tashkent,"2,169"
Uzbekistan,2010,Tashkent,"2,244"
Uzbekistan,2015,Tashkent,"2,379"
Uzbekistan,2018,Tashkent,"2,464"
Vanuatu,2018,Port Vila,53
Venezuela (Boliv. Rep. of),2005,Caracas,"2,886"
Venezuela (Boliv. Rep. of),2010,Caracas,"2,899"
Venezuela (Boliv. Rep. of),2015,Caracas,"2,920"
Venezuela (Boliv. Rep. of),2018,Caracas,"2,935"
Viet Nam,2005,Hanoi,"2,160"
Viet Nam,2010,Hanoi,"2,811"
Viet Nam,2015,Hanoi,"3,657"
Viet Nam,2018,Hanoi,"4,283"
Wallis and Futuna Islands,2018,Matu-Utu,1
Yemen,2005,Sana'a,"1,741"
Yemen,2010,Sana'a,"2,084"
Yemen,2015,Sana'a,"2,495"
Yemen,2018,Sana'a,"2,779"
Zambia,2005,Lusaka,"1,357"
Zambia,2010,Lusaka,"1,723"
Zambia,2015,Lusaka,"2,187"
Zambia,2018,Lusaka,"2,524"
Zimbabwe,2005,Harare,"1,450"
Zimbabwe,2010,Harare,"1,475"
Zimbabwe,2015,Harare,"1,500"
Zimbabwe,2018,Harare,"1,515"
